"Purchase Order Report","Detail By Order Number
"Date Type","Order"
"Date Range","01/07/2019 To 24/07/2019"
"Line Item Status","All"
"Stock Category","All"
"Order No","Part Number","Order Date","Supplier No","Supplier Name","Order Qty","Extended Cost","Extended Price","Invoiced Qty","Line Status","Item Due","Part Description"
"3243546","PACK014","17/07/2019","1233","Johemm  General Enterprises",50,000.00000000,375,000.00,395,000.00,0.00000000,"Open","10/07/2019","Inserts (Honey Comb)"
"3243547","GEN2/150","24/07/2019","1278","Gas lab",1,0.00,27,840.00,0,"Open","24/07/2019","Argon gas instrument grade pure (99.9999%)cylind"
"3243673","ST280","05/07/2019","1407","M/S ALVIN AGENCIES",10,0.00,138,000.00,0,"Completed","05/07/2019","TONNER CARTRIDGE 85A"
"3243673","ST346","05/07/2019","1407","M/S ALVIN AGENCIES",15,0.00,282,000.00,0,"Completed","05/07/2019","LASER JET TONNER CF 412A"
"3243673","ST114","05/07/2019","1407","M/S ALVIN AGENCIES",15,0.00,267,000.00,0,"Completed","05/07/2019","LASER JET TONNER CF410A BLACK"
"3243674","ST296","05/07/2019","1408","M/S DORMAKI GENERAL SUPPLIERS",15,0.00,60,000.00,0,"Completed","05/07/2019","EPSON INK(BLACK)"
"3243674","ST252","05/07/2019","1408","M/S DORMAKI GENERAL SUPPLIERS",15,0.00,60,000.00,0,"Completed","05/07/2019","YELLOW  (EPSON INK)"
"3243676","FINW003","17/07/2019","158","Wilna Raod $ civil Engineering ltd",20,000,0.00,220,000.00,0,"Open","17/07/2019","Bottled water-1Ltr"
"3243676","FINW002","17/07/2019","158","Wilna Raod $ civil Engineering ltd",30,000,0.00,360,000.00,0,"Open","17/07/2019","Bottled water-500ml"
"3243678","KW023","17/07/2019","58020064","FSI CAPITAL LIMITED ",100,000,0.00,72,000.00,0,"Open","17/07/2019","Label 10Ltr (Printed KDF Water)"
"3243678","GEN4/40","17/07/2019","58020064","FSI CAPITAL LIMITED ",60,000,0.00,34,200.00,0,"Open","17/07/2019","PRINTED KDF WATER 500ML SLEEVE"
"3243679","KW023","17/07/2019","58020064","FSI CAPITAL LIMITED ",50,000,0.00,173,000.00,0,"Open","17/07/2019","Label 10Ltr (Printed KDF Water)"
"3243679","KW023","17/07/2019","58020064","FSI CAPITAL LIMITED ",300,000,0.00,249,000.00,0,"Open","17/07/2019","Label 10Ltr (Printed KDF Water)"
"3243680","KW044","17/07/2019","58020064","FSI CAPITAL LIMITED ",4,000,0.00,1,260,000.00,0,"Open","17/07/2019","Shrink wrap"
"3243681","CAFE7","19/07/2019","1090","INFINITY PLASTICS INDUSTRIES LTD ",300,000,0.00,2,124,000.00,0,"Open","19/07/2019","KDF WATER 500ML"
"3243684","FINW007","19/07/2019","1090","INFINITY PLASTICS INDUSTRIES LTD ",10,000,0.00,458,200.00,0,"Open","19/07/2019","Bottled water-5Ltr"
"3243684","FINW004","19/07/2019","1090","INFINITY PLASTICS INDUSTRIES LTD ",24,000,0.00,751,680.00,0,"Open","19/07/2019","Bottled water-2Ltr"
"3243685","FINW003","19/07/2019","1090","INFINITY PLASTICS INDUSTRIES LTD ",100,000,0.00,1,102,000.00,0,"Open","19/07/2019","Bottled water-1Ltr"
"3243724","PACK029","19/07/2019","147","Baraka Electrical and Hardware",100.00000000,0.00,12,500.00,0.00000000,"Open","19/07/2019","Wire nails 3""
"3243724","PACK027","19/07/2019","147","Baraka Electrical and Hardware",100.00000000,0.00,12,500.00,0.00000000,"Open","19/07/2019","Wire nails 2""
"3243981","BAK003","17/07/2019","1550","jiamini group ltd",300,0.00,849,000.00,0,"Open","17/07/2019","BAKERS FLOUR (50KGS)"
"3243982","019","17/07/2019","545","Khetia Garments",300,0.00,390,000.00,0,"Open","17/07/2019","Tilly cooking fat 10kg"
"3243986","BAK041","19/07/2019","559","Bakels East Africa Ltd",1,620,0.00,194,400.00,0,"Open","19/07/2019","Tincol "
"3243986","BAK001","19/07/2019","559","Bakels East Africa Ltd",250.00,0.00,25,000.00,0.00,"Open","19/07/2019","Soya Flour"
"3243987","0026","19/07/2019","1359","MCNEEL MILLERS",40,0.00,112,000.00,0,"Open","19/07/2019","WHOLE MEAL"
"3243987","BAK576","19/07/2019","1359","MCNEEL MILLERS",50,0.00,125,000.00,0,"Open","19/07/2019","HOME BAKING FLOUR (50KG BAG)"
"3243989","0027","19/07/2019","1550","jiamini group ltd",10,0.00,7,800.00,0,"Open","19/07/2019","WHEAT BRAN"
"3243990","BAK006","19/07/2019","545","Khetia Garments",1,000,0.00,460,000.00,0,"Open","19/07/2019","SAFF YEAST"
"3243990","019","19/07/2019","545","Khetia Garments",400,0.00,520,000.00,0,"Open","19/07/2019","Tilly cooking fat 10kg"
"3258006","FAMTO216","01/07/2019","706","Eri Supplies Ltd",2,0.00,26,800.00,0,"Open","01/07/2019","BATTERY DIN 88 PLAST EXIDE"
"3258007","LMOWER13","01/07/2019","705","Broadway industrial Engineering",6,0.00,2,100.00,0,"Open","01/07/2019","FAN BELT A33"
"3258007","ISUZUFTS22","01/07/2019","705","Broadway industrial Engineering",8,0.00,3,600.00,0,"Open","01/07/2019","FAN BELT B44"
"3258007","LMOWER12","01/07/2019","705","Broadway industrial Engineering",6,0.00,3,900.00,0,"Open","01/07/2019","FAN BELT B64"
"3258008","UDMK210-013","01/07/2019","422","Solidarity Auto Gen Suppliers Ltd",4,0.00,39,200.00,0,"Open","01/07/2019","GEAR SELECTOR CABLE"
"3258009","UDMK210-008","01/07/2019","428","Wheelmans Tyres & Spares Ltd",4,0.00,56,800.00,0,"Open","01/07/2019","GEAR SHIFT CABLE (LONG)"
"3258010","UDCB31-02","01/07/2019","701","Watatu Motors Spares LTD",1,0.00,7,000.00,0,"Open","01/07/2019","LEAF SPRING MAIN REAR"
"3258010","UDCB31-03","01/07/2019","701","Watatu Motors Spares LTD",2,0.00,11,600.00,0,"Open","01/07/2019","LEAF SPRING SECOND LEAF"
"3258012","BAK003","09/07/2019","1550","jiamini group ltd",600,0.00,1,698,000.00,600,"Completed","09/07/2019","BAKERS FLOUR (50KGS)"
"Totals","Lines - 38"," "," "," ",1,052,874.00,375,000.00,12,591,120.00,600.00," "," "
